Customer Id,Customer Email,Customer Fname,Customer Lname,Customer Password,Customer Segment,Customer Street,Customer City,Customer State,Customer Country,Customer Zipcode
3296,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,8205 Silver Grove Row,Caguas,PR,Puerto Rico,725.0
3182,XXXXXXXXX,Frances,Smith,XXXXXXXXX,Home Office,7786 Middle Private,Caguas,PR,Puerto Rico,725.0
7864,XXXXXXXXX,Alice,Smith,XXXXXXXXX,Home Office,4294 High Passage,Caguas,PR,Puerto Rico,725.0
11169,XXXXXXXXX,Kyle,Thomas,XXXXXXXXX,Home Office,5274 Easy Beach,Caguas,PR,Puerto Rico,725.0
5197,XXXXXXXXX,Brenda,Jordan,XXXXXXXXX,Home Office,4692 Jagged Thicket,Caguas,PR,Puerto Rico,725.0
1535,XXXXXXXXX,Frank,Livingston,XXXXXXXXX,Home Office,5161 Crystal Quail Jetty,Caguas,PR,Puerto Rico,725.0
6122,XXXXXXXXX,Johnny,Smith,XXXXXXXXX,Home Office,1465 Round Fawn Passage,Caguas,PR,Puerto Rico,725.0
9451,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,5723 Cinder Loop,Caguas,PR,Puerto Rico,725.0
542,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,2991 Silent Deer Landing,Caguas,PR,Puerto Rico,725.0
11329,XXXXXXXXX,Hannah,Smith,XXXXXXXXX,Home Office,5086 Emerald Fox Farms,Caguas,PR,Puerto Rico,725.0
3570,XXXXXXXXX,Mary,Nelson,XXXXXXXXX,Home Office,3909 Hidden Treasure Beach,Caguas,PR,Puerto Rico,725.0
650,XXXXXXXXX,Austin,Sexton,XXXXXXXXX,Home Office,4691 Cinder Crest,Caguas,PR,Puerto Rico,725.0
9353,XXXXXXXXX,Michael,Scott,XXXXXXXXX,Home Office,5703 Tawny Creek Townline,Caguas,PR,Puerto Rico,725.0
54,XXXXXXXXX,Mary,Olson,XXXXXXXXX,Home Office,7333 Cinder Way,Caguas,PR,Puerto Rico,725.0
12151,XXXXXXXXX,Vincent,Krueger,XXXXXXXXX,Home Office,9404 Heather Bluff Dale,Caguas,PR,Puerto Rico,725.0
10018,XXXXXXXXX,Gregory,Rodriguez,XXXXXXXXX,Home Office,1632 Green Fawn Corners,Caguas,PR,Puerto Rico,725.0
4936,XXXXXXXXX,Kyle,Smith,XXXXXXXXX,Home Office,8344 Noble Mountain Gate,Caguas,PR,Puerto Rico,725.0
8707,XXXXXXXXX,Lisa,Smith,XXXXXXXXX,Home Office,7208 Bright Landing,Caguas,PR,Puerto Rico,725.0
1025,XXXXXXXXX,Megan,Todd,XXXXXXXXX,Home Office,1393 Umber Sky Estates,Caguas,PR,Puerto Rico,725.0
8831,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,8165 Red Lane,Caguas,PR,Puerto Rico,725.0
10679,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,331 Grand Orchard,Caguas,PR,Puerto Rico,725.0
5007,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,2264 Thunder Abbey,Caguas,PR,Puerto Rico,725.0
9854,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,9082 Merry Lookout,Caguas,PR,Puerto Rico,725.0
376,XXXXXXXXX,Grace,Sanchez,XXXXXXXXX,Home Office,6468 Fallen Close,Caguas,PR,Puerto Rico,725.0
5417,XXXXXXXXX,Dennis,Meyer,XXXXXXXXX,Home Office,7342 Hidden Walk,Caguas,PR,Puerto Rico,725.0
10759,XXXXXXXXX,Douglas,Smith,XXXXXXXXX,Home Office,577 Rustic Nectar Row,Caguas,PR,Puerto Rico,725.0
8541,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,5700 Little Circle,Caguas,PR,Puerto Rico,725.0
3752,XXXXXXXXX,Mary,Vega,XXXXXXXXX,Home Office,7840 Umber Sky Villas,Caguas,PR,Puerto Rico,725.0
4673,XXXXXXXXX,Wayne,Hodges,XXXXXXXXX,Home Office,7509 Iron Concession,Caguas,PR,Puerto Rico,725.0
5367,XXXXXXXXX,Mary,Mccormick,XXXXXXXXX,Home Office,2199 Silver Autumn Key,Caguas,PR,Puerto Rico,725.0
10485,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,9470 Shady View Bend,Caguas,PR,Puerto Rico,725.0
9272,XXXXXXXXX,Ronald,Blackwell,XXXXXXXXX,Home Office,9366 Silent Nectar Highway,Caguas,PR,Puerto Rico,725.0
647,XXXXXXXXX,Mary,Rios,XXXXXXXXX,Consumer,4167 Stony Extension,Caguas,PR,Puerto Rico,725.0
6398,XXXXXXXXX,Tammy,Smith,XXXXXXXXX,Consumer,7370 Sleepy Way,Caguas,PR,Puerto Rico,725.0
4209,XXXXXXXXX,Mary,Lara,XXXXXXXXX,Consumer,1613 Broad Beach,Caguas,PR,Puerto Rico,725.0
8917,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,4992 Jagged Forest Subdivision,Caguas,PR,Puerto Rico,725.0
7784,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,3216 Red Glade,Caguas,PR,Puerto Rico,725.0
1425,XXXXXXXXX,Christina,Harvey,XXXXXXXXX,Consumer,3481 Crystal Campus,Caguas,PR,Puerto Rico,725.0
2737,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,5424 Rustic Anchor Boulevard,Caguas,PR,Puerto Rico,725.0
6428,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,3567 Heather Knoll,Caguas,PR,Puerto Rico,725.0
6543,XXXXXXXXX,Alexander,Smith,XXXXXXXXX,Consumer,7958 Thunder Apple Street,Caguas,PR,Puerto Rico,725.0
3990,XXXXXXXXX,Sandra,Smith,XXXXXXXXX,Consumer,6496 Harvest Highlands,Guayama,PR,Puerto Rico,784.0
8524,XXXXXXXXX,Ruth,Farrell,XXXXXXXXX,Consumer,1453 Lazy Cider Hill,Caguas,PR,Puerto Rico,725.0
9204,XXXXXXXXX,Mary,Harris,XXXXXXXXX,Consumer,8713 Quaking Abbey,Caguas,PR,Puerto Rico,725.0
11761,XXXXXXXXX,Lauren,Coleman,XXXXXXXXX,Consumer,1285 Noble Pointe,Caguas,PR,Puerto Rico,725.0
9554,XXXXXXXXX,Mary,Hayes,XXXXXXXXX,Consumer,6314 Honey Canyon,Caguas,PR,Puerto Rico,725.0
5118,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,1388 Blue Turnabout,Caguas,PR,Puerto Rico,725.0
5506,XXXXXXXXX,Gregory,Smith,XXXXXXXXX,Consumer,1122 Old Fox Lookout,Caguas,PR,Puerto Rico,725.0
1423,XXXXXXXXX,Mary,Day,XXXXXXXXX,Consumer,257 Iron Elk Maze,Caguas,PR,Puerto Rico,725.0
138,XXXXXXXXX,Mary,Dawson,XXXXXXXXX,Consumer,9544 Noble Spring Route,Caguas,PR,Puerto Rico,725.0
6360,XXXXXXXXX,Mary,Phillips,XXXXXXXXX,Consumer,7094 Misty Wynd,Caguas,PR,Puerto Rico,725.0
2053,XXXXXXXXX,Ronald,Smith,XXXXXXXXX,Consumer,1025 Colonial Plaza,Caguas,PR,Puerto Rico,725.0
10344,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,2839 Grand Timber Canyon,Juana Diaz,PR,Puerto Rico,795.0
3375,XXXXXXXXX,Mary,Sanchez,XXXXXXXXX,Consumer,6174 Wishing Front,Caguas,PR,Puerto Rico,725.0
1339,XXXXXXXXX,Melissa,Mack,XXXXXXXXX,Consumer,9447 Dusty Gate Centre,Caguas,PR,Puerto Rico,725.0
7247,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,6401 Shady Embers Farms,Caguas,PR,Puerto Rico,725.0
1273,XXXXXXXXX,Maria,Evans,XXXXXXXXX,Consumer,595 Indian Path,Caguas,PR,Puerto Rico,725.0
6277,XXXXXXXXX,Eugene,Smith,XXXXXXXXX,Consumer,1820 Noble Elk Harbour,Caguas,PR,Puerto Rico,725.0
7701,XXXXXXXXX,James,Lawson,XXXXXXXXX,Consumer,1577 Green Vista,Caguas,PR,Puerto Rico,725.0
4126,XXXXXXXXX,John,Stokes,XXXXXXXXX,Consumer,9920 Little Lane,Caguas,PR,Puerto Rico,725.0
9528,XXXXXXXXX,Mary,Flores,XXXXXXXXX,Consumer,3089 Gentle Horse Chase,Caguas,PR,Puerto Rico,725.0
1853,XXXXXXXXX,Mary,Austin,XXXXXXXXX,Consumer,4090 Colonial End,Caguas,PR,Puerto Rico,725.0
11149,XXXXXXXXX,Roy,Smith,XXXXXXXXX,Consumer,4601 Amber Grove Hollow,Caguas,PR,Puerto Rico,725.0
5828,XXXXXXXXX,Katherine,Oconnell,XXXXXXXXX,Consumer,2127 Middle Goose Mews,Caguas,PR,Puerto Rico,725.0
6887,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,8840 Harvest Towers,Caguas,PR,Puerto Rico,725.0
4781,XXXXXXXXX,Janet,Smith,XXXXXXXXX,Consumer,8617 Cinder Mountain Forest,Caguas,PR,Puerto Rico,725.0
10668,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,5087 Crystal Hills Manor,Caguas,PR,Puerto Rico,725.0
5421,XXXXXXXXX,Mary,Carlson,XXXXXXXXX,Consumer,1548 Lazy Place,Caguas,PR,Puerto Rico,725.0
10200,XXXXXXXXX,Nicole,Smith,XXXXXXXXX,Consumer,9009 Merry Nectar Heights,Caguas,PR,Puerto Rico,725.0
11254,XXXXXXXXX,Sharon,Smith,XXXXXXXXX,Consumer,4316 Misty Way,Caguas,PR,Puerto Rico,725.0
11106,XXXXXXXXX,Mary,Navarro,XXXXXXXXX,Consumer,6324 Lazy Lane,Caguas,PR,Puerto Rico,725.0
8456,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,9198 Rocky Run,Caguas,PR,Puerto Rico,725.0
6149,XXXXXXXXX,Matthew,Bush,XXXXXXXXX,Consumer,5736 Heather Byway,Caguas,PR,Puerto Rico,725.0
1473,XXXXXXXXX,Anthony,Young,XXXXXXXXX,Consumer,7334 Umber Expressway,Caguas,PR,Puerto Rico,725.0
1840,XXXXXXXXX,Jerry,Smith,XXXXXXXXX,Consumer,427 Grand Branch Hill,Caguas,PR,Puerto Rico,725.0
6757,XXXXXXXXX,Mary,Freeman,XXXXXXXXX,Consumer,2035 Lazy Diversion,Caguas,PR,Puerto Rico,725.0
3972,XXXXXXXXX,Laura,Bennett,XXXXXXXXX,Consumer,4520 Grand Port,Caguas,PR,Puerto Rico,725.0
9316,XXXXXXXXX,Megan,Sanders,XXXXXXXXX,Consumer,7489 Green End,Caguas,PR,Puerto Rico,725.0
11213,XXXXXXXXX,Mary,Black,XXXXXXXXX,Consumer,620 Thunder Creek Towers,Caguas,PR,Puerto Rico,725.0
3474,XXXXXXXXX,Jack,Hatfield,XXXXXXXXX,Consumer,555 Lazy Robin Freeway,Caguas,PR,Puerto Rico,725.0
14630,XXXXXXXXX,Kirestin,Barr,XXXXXXXXX,Consumer,4722 Round Embers Falls,Caguas,PR,Puerto Rico,725.0
13256,XXXXXXXXX,Nora,Downs,XXXXXXXXX,Consumer,1836 Cozy View Orchard,Caguas,PR,Puerto Rico,725.0
14665,XXXXXXXXX,Jennifer,Stokes,XXXXXXXXX,Consumer,5257 Umber Field,Caguas,PR,Puerto Rico,725.0
13363,XXXXXXXXX,Madonna,Ingram,XXXXXXXXX,Consumer,9079 Dewy Deer Harbour,Caguas,PR,Puerto Rico,725.0
14645,XXXXXXXXX,Noelani,Hyde,XXXXXXXXX,Consumer,1284 High Apple Highlands,Caguas,PR,Puerto Rico,725.0
13163,XXXXXXXXX,Sydnee,Nolan,XXXXXXXXX,Consumer,9816 Grand Hills Knoll,Caguas,PR,Puerto Rico,725.0
14553,XXXXXXXXX,Willa,Potter,XXXXXXXXX,Consumer,5301 Blue Street,Caguas,PR,Puerto Rico,725.0
14287,XXXXXXXXX,Alma,Delgado,XXXXXXXXX,Consumer,7274 Middle Wynd,Caguas,PR,Puerto Rico,725.0
13179,XXXXXXXXX,Ila,Knight,XXXXXXXXX,Consumer,2668 Velvet Row ,Caguas,PR,Puerto Rico,725.0
13035,XXXXXXXXX,Belle,Booker,XXXXXXXXX,Consumer,567 Fallen Pines ,Caguas,PR,Puerto Rico,725.0
14322,XXXXXXXXX,Alyssa,Contreras,XXXXXXXXX,Consumer,9870 Little Hickory Loop,Caguas,PR,Puerto Rico,725.0
13196,XXXXXXXXX,Lani,Nash,XXXXXXXXX,Consumer,5763 Green Crossing ,Caguas,PR,Puerto Rico,725.0
14604,XXXXXXXXX,Demetria,Jarvis,XXXXXXXXX,Consumer,4854 Tawny Cove,Caguas,PR,Puerto Rico,725.0
12961,XXXXXXXXX,Joan,Nixon,XXXXXXXXX,Consumer,8297 Golden Green ,Caguas,PR,Puerto Rico,725.0
14676,XXXXXXXXX,Gay,Harper,XXXXXXXXX,Consumer,7293 Lazy Hill,Caguas,PR,Puerto Rico,725.0
14087,XXXXXXXXX,Audrey,Acosta,XXXXXXXXX,Consumer,8967 Sleepy Lane,Caguas,PR,Puerto Rico,725.0
13194,XXXXXXXXX,Riley,Jones,XXXXXXXXX,Consumer,6370 Emerald Row ,Caguas,PR,Puerto Rico,725.0
14513,XXXXXXXXX,Imani,Kelly,XXXXXXXXX,Consumer,3065 Foggy Horse Port,Caguas,PR,Puerto Rico,725.0
13461,XXXXXXXXX,Mechelle,Parker,XXXXXXXXX,Consumer,1393 Umber Sky Estates,Caguas,PR,Puerto Rico,725.0
14510,XXXXXXXXX,Imani,Castaneda,XXXXXXXXX,Consumer,5493 Burning Horse Heath,Caguas,PR,Puerto Rico,725.0
13190,XXXXXXXXX,Whitney,Henderson,XXXXXXXXX,Consumer,529 Blue Grove Rise,Caguas,PR,Puerto Rico,725.0
14508,XXXXXXXXX,Roanna,Martin,XXXXXXXXX,Consumer,4462 Little Lagoon Route,Caguas,PR,Puerto Rico,725.0
14472,XXXXXXXXX,Vivian,Hays,XXXXXXXXX,Consumer,9854 Jagged Impasse,Caguas,PR,Puerto Rico,725.0
14562,XXXXXXXXX,Xantha,Brock,XXXXXXXXX,Consumer,5336 Sleepy Sky Common,Caguas,PR,Puerto Rico,725.0
13206,XXXXXXXXX,Zia,Davis,XXXXXXXXX,Consumer,3836 Blue Brook Stead,Caguas,PR,Puerto Rico,725.0
13080,XXXXXXXXX,Mara,Duffy,XXXXXXXXX,Consumer,4896 Honey Wood ,Caguas,PR,Puerto Rico,725.0
14633,XXXXXXXXX,Sloane,Long,XXXXXXXXX,Consumer,4592 Grand Timber Ramp,Caguas,PR,Puerto Rico,725.0
14097,XXXXXXXXX,Winifred,Alexander,XXXXXXXXX,Consumer,146 Middle Terrace,Caguas,PR,Puerto Rico,725.0
13024,XXXXXXXXX,Giselle,Farrell,XXXXXXXXX,Consumer,3710 Little Nook ,Caguas,PR,Puerto Rico,725.0
778,XXXXXXXXX,John,Buckley,XXXXXXXXX,Consumer,9598 Cinder Close,Caguas,PR,Puerto Rico,725.0
7146,XXXXXXXXX,Nancy,Curry,XXXXXXXXX,Consumer,6998 Old Treasure Crossing,Caguas,PR,Puerto Rico,725.0
6365,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,100 Jagged Cloud Pathway,Caguas,PR,Puerto Rico,725.0
8422,XXXXXXXXX,Wayne,Crawford,XXXXXXXXX,Consumer,8110 Old Place,Caguas,PR,Puerto Rico,725.0
3784,XXXXXXXXX,Mary,Sharp,XXXXXXXXX,Consumer,9221 Cotton Butterfly Terrace,Caguas,PR,Puerto Rico,725.0
10519,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,4110 Quaking Abbey,Caguas,PR,Puerto Rico,725.0
7132,XXXXXXXXX,David,Guerra,XXXXXXXXX,Consumer,6574 Shady Horse Wood,Caguas,PR,Puerto Rico,725.0
3709,XXXXXXXXX,Mary,Padilla,XXXXXXXXX,Consumer,4555 Amber Apple Cape,Caguas,PR,Puerto Rico,725.0
1509,XXXXXXXXX,Patricia,Petersen,XXXXXXXXX,Consumer,3675 Emerald Goose Bank,Freeport,NY,EE. UU.,11520.0
1636,XXXXXXXXX,Julie,Petersen,XXXXXXXXX,Consumer,9375 Harvest Circuit,Fort Washington,MD,EE. UU.,20744.0
2784,XXXXXXXXX,Lisa,Smith,XXXXXXXXX,Consumer,3993 Thunder Hills Port,Bakersfield,CA,EE. UU.,93304.0
9174,XXXXXXXXX,Tyler,Smith,XXXXXXXXX,Consumer,9414 Thunder Island Court,Corona,NY,EE. UU.,11368.0
122,XXXXXXXXX,Karen,Smith,XXXXXXXXX,Consumer,7573 Cozy Goose Road,Cincinnati,OH,EE. UU.,45238.0
3800,XXXXXXXXX,Shawn,Smith,XXXXXXXXX,Consumer,5985 Silent Leaf Vale,Germantown,MD,EE. UU.,20874.0
10029,XXXXXXXXX,Mary,Silva,XXXXXXXXX,Consumer,1230 Crystal Lookout,Carrollton,TX,EE. UU.,75006.0
2805,XXXXXXXXX,Willie,Smith,XXXXXXXXX,Consumer,6350 Lost Hollow,Houston,TX,EE. UU.,77093.0
12253,XXXXXXXXX,Mary,Chan,XXXXXXXXX,Consumer,4898 Red Butterfly Autoroute,Carlisle,PA,EE. UU.,17013.0
3528,XXXXXXXXX,Nicole,Brooks,XXXXXXXXX,Consumer,7312 Crystal Willow Villas,Los Angeles,CA,EE. UU.,90023.0
11018,XXXXXXXXX,Bruce,Smith,XXXXXXXXX,Consumer,9595 Blue Promenade,Ewa Beach,HI,EE. UU.,96706.0
3222,XXXXXXXXX,Mary,Williams,XXXXXXXXX,Consumer,1790 Noble Brook Run,Lakewood,NJ,EE. UU.,8701.0
6246,XXXXXXXXX,Melissa,Ramirez,XXXXXXXXX,Consumer,2459 Round Spring Towers,Rome,NY,EE. UU.,13440.0
8741,XXXXXXXXX,Gregory,Smith,XXXXXXXXX,Consumer,690 Colonial Pine Passage,Vista,CA,EE. UU.,92083.0
8050,XXXXXXXXX,Elizabeth,Smith,XXXXXXXXX,Consumer,739 Jagged Goose Street,Fort Worth,TX,EE. UU.,76106.0
5474,XXXXXXXXX,Mary,Sanchez,XXXXXXXXX,Consumer,29 Gentle Spring Mews,Fond Du Lac,WI,EE. UU.,54935.0
474,XXXXXXXXX,Mary,Patton,XXXXXXXXX,Consumer,5532 Tawny Pines,Philadelphia,PA,EE. UU.,19139.0
12255,XXXXXXXXX,Mary,Davis,XXXXXXXXX,Consumer,4502 Hazy Run,Ontario,CA,EE. UU.,91764.0
10288,XXXXXXXXX,Mark,Smith,XXXXXXXXX,Consumer,6026 Stony Elk Hill,Oviedo,FL,EE. UU.,32765.0
4717,XXXXXXXXX,Mary,Sanders,XXXXXXXXX,Consumer,4903 Lazy Parkway,Buffalo,NY,EE. UU.,14221.0
4799,XXXXXXXXX,Paul,Jensen,XXXXXXXXX,Consumer,3902 Foggy Swale,Honolulu,HI,EE. UU.,96822.0
4533,XXXXXXXXX,Walter,Chavez,XXXXXXXXX,Consumer,990 Dewy Crest,Oceanside,CA,EE. UU.,92056.0
12383,XXXXXXXXX,Joyce,Phillips,XXXXXXXXX,Consumer,9899 Hazy Falls,North Tonawanda,NY,EE. UU.,14120.0
3518,XXXXXXXXX,Daniel,Smith,XXXXXXXXX,Consumer,7449 Merry Chase,Clovis,CA,EE. UU.,93611.0
4674,XXXXXXXXX,Mary,Lynn,XXXXXXXXX,Consumer,7694 Velvet Turnabout,Jamaica,NY,EE. UU.,11434.0
8519,XXXXXXXXX,Pamela,Michael,XXXXXXXXX,Consumer,1585 Stony Rabbit Hollow,Granite City,IL,EE. UU.,62040.0
5302,XXXXXXXXX,Betty,Smith,XXXXXXXXX,Consumer,2289 Cozy Promenade,Medford,MA,EE. UU.,2155.0
3594,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Consumer,830 Clear Sky Vale,Pomona,CA,EE. UU.,91766.0
